,pitcher_id
2015,150178
2016,456071
2017,449079
2018,450212
2019,112131
2020,501605
2021,595371
2022,595234
2023,656803
2024,518755
2025,136267
2026,544150
2027,518833
2028,607572
2029,461856
2030,669374
2031,518495
2032,489242
2033,444849
2034,430585
2035,543308
2036,434705
2037,592230
2038,605490
2039,449786
2040,430950
2041,451192
2042,600986
2043,642201
2044,458582
2045,458950
2046,572669
2047,460092
2048,600858
2049,595001
2050,451596
2051,150277
2052,474284
2053,592091
2054,572000
2055,501873
2056,657658
2057,605509
2058,469686
2059,572008
2060,608337
2061,408036
2062,460128
2063,434604
2064,592387
2065,605441
2066,622161
2067,431157
2068,444844
2069,571710
2070,457707
2071,546991
2072,543309
2073,450192
2074,457768
2075,150021
2076,517448
2077,519294
2078,473879
2079,467798
2080,346857
2081,608652
2082,435038
2083,570257
2084,547912
2085,664842
2086,116414
2087,657117
2088,472610
2089,519037
2090,621098
2091,670970
2092,123387
2093,546318
2094,527049
2095,501955
2096,444448
2097,432928
2098,502042
2099,124604
2100,445095
2101,542585
2102,133160
2103,502054
2104,451259
2105,606213
2106,150449
2107,656794
2108,518883
2109,571863
2110,624636
2111,543083
2112,622110
2113,605240
2114,408057
2115,545121
2116,446248
2117,519096
2118,425657
2119,594807
2120,517369
2121,545404
2122,605222
2123,623214
2124,523260
2125,499624
2126,650828
2127,434641
2128,607043
2129,430947
2130,425386
2131,406550
2132,543483
2133,493117
2134,123744
2135,596105
2136,607560
2137,571970
2138,605196
2139,664092
2140,608379
2141,552662
2142,664682
2143,543238
2144,594840
2145,456051
2146,276346
2147,421685
2148,543725
2149,572122
2150,554429
2151,444436
2152,518715
2153,488786
2154,444482
2155,543333
2156,408307
2157,112116
2158,592165
2159,547989
2160,115399
2161,458643
2162,621433
2163,489232
2164,542642
2165,475174
2166,650671
2167,150116
2168,519317
2169,571441
2170,460051
2171,450855
2172,594943
2173,446290
2174,622268
2175,458628
2176,640447
2177,503285
2178,133982
2179,545358
2180,435279
2181,607374
2182,664874
2183,493329
2184,641962
2185,502166
2186,431159
2187,488726
2188,493574
2189,571577
2190,621086
2191,605301
2192,477569
2193,621142
2194,664856
2195,519186
2196,502043
2197,434181
2198,110385
2199,424805
2200,400089
2201,492821
2202,664314
2203,605276
2204,571901
2205,471863
2206,641829
2207,671250
2208,442707
2209,641553
2210,446208
2211,628326
2212,408236
2213,425789
2214,656546
2215,624512
2216,449082
2217,460105
2218,571670
2219,572744
2220,592808
2221,656811
2222,622072
2223,425548
2224,488748
2225,642336
2226,450300
2227,493316
2228,594027
2229,459999
2230,452104
2231,453268
2232,453286
2233,543881
2234,527043
2235,458681
2236,668670
2237,407487
2238,456665
2239,543305
2240,641531
2241,628711
2242,624586
2243,333292
2244,592753
2245,407825
2246,430884
2247,598264
2248,458709
2249,468504
2250,452221
2251,502110
2252,543008
2253,518545
2254,572033
2255,452061
2256,621199
2257,649966
2258,623474
2259,455126
2260,346799
2261,452241
2262,451584
2263,400121
2264,458924
2265,596001
2266,543334
2267,663531
2268,593974
2269,493603
2270,664334
2271,572233
2272,450665
2273,543351
2274,150153
2275,462995
2276,135784
2277,448147
2278,542255
2279,595879
2280,673258
2281,641684
2282,656464
2283,600303
2284,467055
2285,468517
2286,574831
2287,516714
2288,592178
2289,542233
2290,579328
2291,502051
2292,518799
2293,457763
2294,518774
2295,554430
2296,235095
2297,519083
2298,518586
2299,605226
2300,500903
2301,664199
2302,571875
2303,476036
2304,541608
2305,433898
2306,448276
2307,453525
2308,451595
2309,663647
2310,572998
2311,607405
2312,595222
2313,443558
2314,431148
2315,643316
2316,666176
2317,624585
2318,594795
2319,542994
2320,489197
2321,606132
2322,445055
2323,664119
2324,445933
2325,407853
2326,630105
2327,516811
2328,502046
2329,656257
2330,621962
2331,424325
2332,517008
2333,519403
2334,453284
2335,435179
2336,640457
2337,607755
2338,434661
2339,430594
2340,340192
2341,664157
2342,471107
2343,425542
2344,543079
2345,608665
2346,669242
2347,663423
2348,448306
2349,134181
2350,454975
2351,445001
2352,518170
2353,592229
2354,430965
2355,594742
2356,614177
2357,663992
2358,425549
2359,407890
2360,476127
2361,502133
2362,136500
2363,461829
2364,474029
2365,592696
2366,620443
2367,475138
2368,572143
2369,596847
2370,434670
2371,476205
2372,643230
2373,516809
2374,605288
2375,519322
2376,435261
2377,491688
2378,571969
2379,462405
2380,279913
2381,457574
2382,572810
2383,451085
2384,446899
2385,572761
2386,276545
2387,435522
2388,407801
2389,455009
2390,621466
2391,457428
2392,501659
2393,592811
2394,424144
2395,408312
2396,502083
2397,622492
2398,592660
2399,668942
2400,571553
2401,284568
2402,448842
2403,543228
2404,641851
2405,660821
2406,518961
2407,592620
2408,571882
2409,656547
2410,519393
2411,543607
2412,642207
2413,434718
2414,675916
2415,657571
2416,605169
2417,518626
2418,554054
2419,474568
2420,518703
2421,592329
2422,664774
2423,501994
2424,602074
2425,607074
2426,453974
2427,452718
2428,643297
2429,643320
2430,608672
2431,460101
2432,595005
2433,607727
2434,519015
2435,657670
2436,121358
2437,514719
2438,572241
2439,592872
2440,554340
2441,606149
2442,596142
2443,506702
2444,625643
2445,623402
2446,607457
2447,643524
2448,592433
2449,460677
2450,627894
2451,150100
2452,452676
2453,420864
2454,570663
2455,519333
2456,607455
2457,425904
2458,628450
2459,465668
2460,458036
2461,433217
2462,516970
2463,572308
2464,425647
2465,425560
2466,594953
2467,599819
2468,596103
2469,425900
2470,669222
2471,471897
2472,628318
2473,606291
2474,502034
2475,502264
2476,433587
2477,547170
2478,608336
2479,445615
2480,546276
2481,669203
2482,621219
2483,663611
2484,452150
2485,605498
2486,641941
2487,449181
2488,444354
2489,457744
2490,669289
2491,452741
2492,543022
