,0
328,https://baseballsavant.mlb.com/savant-player/502028
329,https://baseballsavant.mlb.com/savant-player/613534
330,https://baseballsavant.mlb.com/savant-player/501303
331,https://baseballsavant.mlb.com/savant-player/458003
332,https://baseballsavant.mlb.com/savant-player/608334
333,https://baseballsavant.mlb.com/savant-player/429783
334,https://baseballsavant.mlb.com/savant-player/276514
335,https://baseballsavant.mlb.com/savant-player/523648
336,https://baseballsavant.mlb.com/savant-player/276520
337,https://baseballsavant.mlb.com/savant-player/457918
338,https://baseballsavant.mlb.com/savant-player/592181
339,https://baseballsavant.mlb.com/savant-player/453264
340,https://baseballsavant.mlb.com/savant-player/676604
341,https://baseballsavant.mlb.com/savant-player/408241
342,https://baseballsavant.mlb.com/savant-player/521230
343,https://baseballsavant.mlb.com/savant-player/528748
344,https://baseballsavant.mlb.com/savant-player/572831
345,https://baseballsavant.mlb.com/savant-player/605195
346,https://baseballsavant.mlb.com/savant-player/592761
347,https://baseballsavant.mlb.com/savant-player/620454
348,https://baseballsavant.mlb.com/savant-player/435401
349,https://baseballsavant.mlb.com/savant-player/664871
350,https://baseballsavant.mlb.com/savant-player/642701
351,https://baseballsavant.mlb.com/savant-player/430941
352,https://baseballsavant.mlb.com/savant-player/533167
353,https://baseballsavant.mlb.com/savant-player/453178
354,https://baseballsavant.mlb.com/savant-player/430654
355,https://baseballsavant.mlb.com/savant-player/444935
356,https://baseballsavant.mlb.com/savant-player/408230
357,https://baseballsavant.mlb.com/savant-player/542369
358,https://baseballsavant.mlb.com/savant-player/451990
359,https://baseballsavant.mlb.com/savant-player/607229
360,https://baseballsavant.mlb.com/savant-player/451773
361,https://baseballsavant.mlb.com/savant-player/434159
362,https://baseballsavant.mlb.com/savant-player/453265
363,https://baseballsavant.mlb.com/savant-player/425492
364,https://baseballsavant.mlb.com/savant-player/642226
365,https://baseballsavant.mlb.com/savant-player/449110
366,https://baseballsavant.mlb.com/savant-player/283166
367,https://baseballsavant.mlb.com/savant-player/492841
368,https://baseballsavant.mlb.com/savant-player/607951
369,https://baseballsavant.mlb.com/savant-player/621368
370,https://baseballsavant.mlb.com/savant-player/543634
371,https://baseballsavant.mlb.com/savant-player/605228
372,https://baseballsavant.mlb.com/savant-player/548348
373,https://baseballsavant.mlb.com/savant-player/516472
374,https://baseballsavant.mlb.com/savant-player/446386
375,https://baseballsavant.mlb.com/savant-player/592848
376,https://baseballsavant.mlb.com/savant-player/444444
377,https://baseballsavant.mlb.com/savant-player/595191
378,https://baseballsavant.mlb.com/savant-player/664192
379,https://baseballsavant.mlb.com/savant-player/543056
380,https://baseballsavant.mlb.com/savant-player/656288
381,https://baseballsavant.mlb.com/savant-player/429720
382,https://baseballsavant.mlb.com/savant-player/543456
383,https://baseballsavant.mlb.com/savant-player/430638
384,https://baseballsavant.mlb.com/savant-player/434665
385,https://baseballsavant.mlb.com/savant-player/475247
386,https://baseballsavant.mlb.com/savant-player/433589
387,https://baseballsavant.mlb.com/savant-player/656302
388,https://baseballsavant.mlb.com/savant-player/455119
389,https://baseballsavant.mlb.com/savant-player/474463
390,https://baseballsavant.mlb.com/savant-player/571951
