id,season_played,type,W,L,ERA,G,GS,SV,IP,SO,WHIP
150337,2012,most recent,2.0,4.0,4.58,7.0,7.0,0.0,37.1,19.0,NA
150337,12 Seasons,career,69.0,103.0,4.71,296.0,219.0,2.0,1338.1,963.0,1.51
605255,2018,most recent,1.0,1.0,5.40,21.0,0.0,1.0,33.1,21.0,NA
605255,1 Season,career,1.0,1.0,5.40,21.0,0.0,1.0,33.1,21.0,1.59
435538,2012,most recent,0.0,0.0,5.19,14.0,0.0,0.0,8.2,7.0,NA
435538,6 Seasons,career,13.0,12.0,3.74,258.0,0.0,3.0,197.1,188.0,1.38
592815,2019,most recent,1.0,0.0,2.35,23.0,2.0,0.0,23.0,27.0,NA
592815,6 Seasons,career,8.0,7.0,3.33,124.0,2.0,0.0,127.0,119.0,1.33
493200,2019,most recent,3.0,1.0,9.33,21.0,0.0,0.0,18.1,16.0,NA
493200,4 Seasons,career,16.0,13.0,3.31,232.0,0.0,42.0,225.2,252.0,1.15
657205,2018,most recent,0.0,1.0,4.96,15.0,0.0,0.0,16.1,18.0,NA
657205,3 Seasons,career,0.0,2.0,4.74,42.0,0.0,0.0,38.0,34.0,1.74
664054,2020,most recent,1.0,0.0,3.00,11.0,0.0,0.0,15.0,17.0,NA
664054,2 Seasons,career,1.0,1.0,3.15,29.0,1.0,0.0,40.0,42.0,1.10
425656,2011,most recent,0.0,0.0,15.00,5.0,0.0,0.0,6.0,6.0,NA
425656,9 Seasons,career,15.0,25.0,5.40,192.0,40.0,0.0,396.1,283.0,1.60
460029,2010,most recent,4.0,2.0,2.97,37.0,0.0,0.0,36.1,29.0,NA
460029,4 Seasons,career,7.0,11.0,3.68,161.0,0.0,14.0,198.0,177.0,1.36
645261,2020,most recent,3.0,2.0,3.00,7.0,7.0,0.0,42.0,39.0,NA
645261,4 Seasons,career,11.0,19.0,3.71,53.0,45.0,0.0,281.2,230.0,1.32
453273,2011,most recent,0.0,1.0,9.28,15.0,0.0,0.0,10.2,7.0,NA
453273,1 Season,career,0.0,1.0,9.28,15.0,0.0,0.0,10.2,7.0,2.34
279571,2018,most recent,1.0,1.0,7.86,33.0,0.0,0.0,34.1,25.0,NA
279571,15 Seasons,career,52.0,58.0,4.32,693.0,44.0,14.0,928.2,711.0,1.36
435400,2017,most recent,1.0,0.0,3.54,46.0,0.0,0.0,40.2,27.0,NA
435400,9 Seasons,career,27.0,15.0,3.30,444.0,0.0,60.0,397.2,375.0,1.15
592222,2020,most recent,0.0,0.0,4.26,20.0,0.0,1.0,19.0,15.0,NA
592222,7 Seasons,career,15.0,8.0,3.44,311.0,2.0,13.0,311.2,217.0,1.27
115817,2012,most recent,4.0,1.0,6.42,44.0,0.0,1.0,67.1,48.0,NA
115817,17 Seasons,career,178.0,177.0,4.44,519.0,474.0,1.0,3189.0,1976.0,1.44
548337,2017,most recent,2.0,0.0,4.22,4.0,0.0,0.0,10.2,9.0,NA
548337,3 Seasons,career,6.0,10.0,4.62,57.0,16.0,1.0,150.0,114.0,1.37
489446,2020,most recent,0.0,1.0,12.46,6.0,0.0,2.0,4.1,8.0,NA
489446,7 Seasons,career,12.0,17.0,3.54,291.0,0.0,57.0,282.1,400.0,1.15
527048,2020,most recent,3.0,5.0,4.50,12.0,12.0,0.0,62.0,46.0,NA
527048,9 Seasons,career,56.0,61.0,4.71,185.0,169.0,0.0,988.2,643.0,1.48
446861,2013,most recent,2.0,2.0,5.10,13.0,2.0,0.0,30.0,31.0,NA
446861,5 Seasons,career,13.0,14.0,4.28,70.0,26.0,0.0,222.2,166.0,1.31
627500,2018,most recent,0.0,0.0,13.50,1.0,1.0,0.0,2.0,3.0,NA
