id,Season,Pitches,Zone %,Zone Swing %,Zone Contact %,Chase %,Chase Contact %,Edge %,1st Pitch Strike %,Swing %,Whiff %,Meatball %,Meatball Swing %
519455,ALL,11504.0,51.1,67.2,87.4,29.1,65.3,44.4,66.2,48.6,19.1,8.0,75.4
519455,MLB,48.4,66.1,82.8,28.2,59.4,42.6,60.6,46.6,24.5,7.2,75.1,NA
453580,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
446372,2015,3273.0,50.6,66.5,82.8,34.3,52.7,45.3,63.5,50.6,27.2,7.1,74.9
446372,2016,3189.0,48.5,65.4,82.2,32.1,51.6,42.0,62.6,48.3,28.2,7.5,73.6
446372,2017,2945.0,51.2,63.9,78.9,33.2,41.0,43.5,64.5,49.0,33.6,8.0,70.9
446372,2018,3181.0,48.2,63.9,85.9,33.6,50.0,43.3,63.3,48.0,27.0,6.3,74.2
446372,2019,611.0,42.7,65.9,82.6,33.1,55.2,41.2,64.9,47.1,28.5,5.9,75.0
446372,2020,18.0,38.9,57.1,100.0,36.4,75.0,38.9,33.3,44.4,12.5,5.6,100.0
446372,ALL,13217.0,49.3,65.0,82.5,33.3,49.4,43.4,63.5,48.9,28.9,7.1,73.5
446372,MLB,48.4,66.1,82.8,28.2,59.4,42.6,60.6,46.6,24.5,7.2,75.1,NA
518886,2015,1008.0,49.2,67.3,72.5,25.0,39.1,39.4,61.1,45.8,36.8,8.3,76.2
518886,2016,935.0,46.0,62.1,76.0,29.1,44.9,41.9,68.2,44.3,35.0,7.2,82.1
518886,2017,1148.0,51.0,62.2,66.5,34.8,40.5,44.9,63.8,48.8,42.7,7.8,69.7
518886,2018,1111.0,42.9,65.0,74.2,31.9,38.1,43.2,56.3,46.1,40.0,6.5,76.4
518886,2019,392.0,41.9,72.8,79.1,28.3,45.2,41.4,56.3,47.7,32.6,7.4,82.1
518886,2020,300.0,47.0,55.3,71.8,22.0,48.6,38.3,58.0,37.7,35.4,6.3,84.2
518886,ALL,4894.0,46.9,64.2,72.5,29.7,41.2,42.1,61.4,45.9,38.3,7.4,76.6
518886,MLB,48.4,66.1,82.8,28.2,59.4,42.6,60.6,46.6,24.5,7.2,75.1,NA
499107,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
134268,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
595345,2016,232.0,50.0,66.4,79.2,31.0,58.3,35.8,48.3,48.7,27.4,6.0,78.6
595345,2017,461.0,55.3,67.3,81.9,25.4,63.5,39.2,57.6,48.8,22.7,8.3,84.2
595345,2018,93.0,59.1,65.5,72.2,34.2,53.8,41.9,63.0,52.7,32.7,9.7,88.9
595345,ALL,786.0,54.2,66.8,79.9,28.1,60.4,38.5,55.7,49.2,25.3,7.8,83.6
595345,MLB,48.4,66.1,82.8,28.2,59.4,42.6,60.6,46.6,24.5,7.2,75.1,NA
446321,2015,1169.0,46.8,66.2,85.6,24.3,72.8,44.8,53.5,43.9,18.1,5.6,76.9
446321,2016,834.0,50.4,68.8,90.3,24.6,70.6,42.1,56.8,46.9,14.8,8.0,76.1
446321,2018,76.0,56.6,69.8,86.7,30.3,80.0,48.7,60.9,52.6,15.0,10.5,75.0
446321,2019,1157.0,50.6,67.7,89.2,25.4,69.0,43.8,58.4,46.8,16.2,7.9,79.1
446321,2020,311.0,48.9,72.4,79.1,27.7,54.5,41.5,55.6,49.5,27.9,9.6,80.0
446321,ALL,3547.0,49.3,68.0,87.4,25.1,69.5,43.6,56.3,46.2,17.6,7.4,77.8
446321,MLB,48.4,66.1,82.8,28.2,59.4,42.6,60.6,46.6,24.5,7.2,75.1,NA
670329,2019,99.0,47.5,68.1,87.5,9.6,60.0,35.4,56.7,37.4,16.2,10.1,100.0
670329,2020,177.0,48.6,76.7,81.8,20.9,63.2,33.9,54.5,48.0,22.4,10.2,88.9
670329,ALL,276.0,48.2,73.7,83.7,16.8,62.5,34.4,55.4,44.2,20.5,10.1,92.9
670329,MLB,48.4,66.1,82.8,28.2,59.4,42.6,60.6,46.6,24.5,7.2,75.1,NA
465679,2015,368.0,55.2,60.1,87.7,23.0,52.6,36.7,61.5,43.5,20.6,8.7,50.0
465679,ALL,368.0,55.2,60.1,87.7,23.0,52.6,36.7,61.5,43.5,20.6,8.7,50.0
465679,MLB,48.4,66.1,82.8,28.2,59.4,42.6,60.6,46.6,24.5,7.2,75.1,NA
502085,2015,981.0,50.5,64.4,80.3,29.6,39.6,44.2,68.4,47.2,32.2,7.4,74.0
502085,2016,1050.0,49.7,61.9,80.8,26.9,44.4,41.8,61.4,44.3,30.3,9.0,70.5
502085,2017,1032.0,49.6,61.0,74.0,31.3,40.1,42.4,59.1,46.0,37.9,8.1,74.7
502085,2018,1184.0,45.3,63.4,80.3,28.1,43.4,41.3,56.2,44.1,32.6,5.4,87.5
502085,2019,136.0,44.1,58.3,88.6,22.4,35.3,41.2,54.5,38.2,28.8,8.1,63.6
502085,ALL,4383.0,48.5,62.6,79.1,28.7,41.7,42.3,60.9,45.1,33.1,7.4,75.5
502085,MLB,48.4,66.1,82.8,28.2,59.4,42.6,60.6,46.6,24.5,7.2,75.1,NA
608723,2018,216.0,51.9,61.6,85.5,21.2,54.5,48.1,60.0,42.1,22.0,6.5,64.3
608723,2019,684.0,51.0,65.0,77.1,29.6,57.6,43.9,60.9,47.7,28.8,8.3,82.5
608723,2020,895.0,50.8,68.1,84.5,25.9,59.6,46.8,57.3,47.4,22.2,5.8,86.5
608723,ALL,1795.0,51.0,66.2,81.8,26.7,58.3,45.8,59.0,46.9,24.7,6.9,82.1
608723,MLB,48.4,66.1,82.8,28.2,59.4,42.6,60.6,46.6,24.5,7.2,75.1,NA
150302,2015,783.0,43.3,66.1,84.4,29.7,68.2,44.3,54.2,45.5,21.6,5.2,75.6
150302,ALL,783.0,43.3,66.1,84.4,29.7,68.2,44.3,54.2,45.5,21.6,5.2,75.6
150302,MLB,48.4,66.1,82.8,28.2,59.4,42.6,60.6,46.6,24.5,7.2,75.1,NA
434619,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
595411,2017,218.0,53.2,71.6,86.7,28.4,51.7,42.2,65.0,51.4,22.3,8.7,89.5
595411,2018,103.0,51.5,56.6,90.0,20.0,70.0,46.6,66.7,38.8,15.0,9.7,60.0
595411,2020,126.0,49.2,61.3,92.1,34.4,86.4,42.1,73.5,47.6,10.0,7.1,66.7
595411,ALL,447.0,51.7,65.4,88.7,28.2,67.2,43.2,67.8,47.4,17.5,8.5,76.3
595411,MLB,48.4,66.1,82.8,28.2,59.4,42.6,60.6,46.6,24.5,7.2,75.1,NA
430942,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
670426,2019,138.0,47.1,63.1,75.6,34.2,40.0,42.0,60.0,47.8,37.9,5.8,87.5
670426,2020,116.0,47.4,67.3,94.6,19.7,50.0,33.6,52.0,42.2,16.3,6.9,75.0
670426,ALL,254.0,47.2,65.0,84.6,27.6,43.2,38.2,56.7,45.3,28.7,6.3,81.3
670426,MLB,48.4,66.1,82.8,28.2,59.4,42.6,60.6,46.6,24.5,7.2,75.1,NA
457915,2015,36.0,44.4,56.3,100.0,35.0,85.7,52.8,57.1,44.4,6.3,5.6,50.0
457915,2016,134.0,48.5,73.8,87.5,17.4,50.0,37.3,46.7,44.8,20.0,6.7,100.0
457915,2017,320.0,54.2,71.1,92.7,32.9,79.2,45.8,67.0,53.4,11.1,9.1,75.9
457915,2018,587.0,53.2,71.5,85.2,27.0,66.2,45.6,64.2,50.6,19.5,10.4,68.9
457915,2019,1076.0,55.6,70.7,86.8,31.0,65.5,42.8,63.1,53.1,18.7,10.1,76.1
457915,2020,286.0,52.8,72.8,80.9,22.2,53.3,45.5,58.6,49.0,25.0,8.0,87.0
457915,ALL,2439.0,54.0,71.2,86.6,28.4,66.5,44.0,62.6,51.5,18.5,9.6,76.0
457915,MLB,48.4,66.1,82.8,28.2,59.4,42.6,60.6,46.6,24.5,7.2,75.1,NA
453214,2015,1178.0,53.5,61.0,78.4,23.5,75.2,44.7,55.2,43.5,22.4,8.1,65.6
453214,2016,2496.0,52.2,63.6,76.8,23.3,68.3,43.6,55.0,44.4,25.3,8.5,74.9
453214,2017,383.0,54.3,66.8,88.5,24.6,74.4,43.9,59.6,47.5,14.8,8.1,74.2
453214,2018,824.0,47.8,64.7,80.4,25.1,69.4,47.1,60.5,44.1,22.9,5.3,72.7
453214,2019,132.0,47.4,66.7,87.5,17.5,71.4,44.7,39.4,39.4,23.1,2.6,100.0
453214,ALL,5013.0,51.9,63.4,78.9,23.7,70.6,44.5,56.0,44.2,23.3,7.7,72.4
453214,MLB,48.4,66.1,82.8,28.2,59.4,42.6,60.6,46.6,24.5,7.2,75.1,NA
658305,2019,723.0,39.0,64.9,80.9,29.3,49.6,38.7,52.3,43.2,32.1,5.0,75.0
658305,2020,68.0,42.6,62.1,83.3,20.5,75.0,32.4,43.8,38.2,19.2,10.3,85.7
658305,ALL,791.0,39.3,64.6,81.1,28.5,51.1,38.2,51.6,42.7,31.1,5.4,76.7
