id,Year,xwOBA,xBA,xSLG,xISO,xOBP,Brl,Brl%,EV,HardHit%,K%,BB%,Whiff%,xERA,FB Velo,FB Spin,CB Spin
596720,2017.0, , , , , , , , , , , , , ,85.0,57.0,96.0
596720,2018.0, , , , , , , , , , , , , ,80.0,57.0,96.0
596720,2019.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
596720,2020.0, 20, 26, 19, 21, 22, 56, 26, 10, 4, 63, 24, 81, 20,53.0,52.0,91.0
506433,2016.0, 91, 94, 85, 66, 95, 49, 48, 93, 70, 95, 56, 87, 91,58.0,93.0,59.0
506433,2017.0, 70, 68, 67, 63, 75, 11, 42, 72, 64, 81, 63, 77, 70,55.0,95.0,57.0
506433,2018.0, , , , , , , , , , , , , ,54.0,95.0,75.0
506433,2019.0, 69, 74, 58, 45, 75, 18, 41, 50, 42, 88, 57, 80, 69,17.0,96.0,68.0
506433,2020.0, 87, 61, 73, 78, 89, 13, 58, 43, 65, 85, 92, 80, 87,16.0,98.0,77.0
547939,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
622491,2017.0, 90, 91, 91, 87, 88, 78, 91, 82, 68, 81, 38, 78, 90,96.0,52.0,NA
622491,2018.0, 36, 45, 26, 18, 60, 2, 12, 34, 16, 56, 72, 75, 36,88.0,33.0,NA
622491,2019.0, 84, 86, 93, 91, 74, 34, 84, 81, 74, 81, 22, 94, 84,91.0,20.0,NA
622491,2020.0, 85, 77, 86, 88, 82, 33, 81, 87, 49, 83, 55, 83, 85,96.0,24.0,NA
456501,2015.0, 53, 45, 44, 43, 65, 8, 52, 86, 60, 49, 83, 44, 53,37.0,66.0,25.0
456501,2016.0, 75, 53, 66, 76, 79, 23, 79, 69, 61, 62, 90, 36, 75,25.0,62.0,11.0
456501,2017.0, 12, 10, 13, 21, 13, 9, 24, 25, 47, 44, 53, 40, 12,23.0,39.0,1.0
456501,2018.0, 39, 60, 25, 8, 69, 53, 5, 81, 86, 19, 82, 28, 39,11.0,39.0,46.0
456501,2019.0, , , , , , , , , , , , , ,24.0,51.0,39.0
456501,2020.0, 30, 30, 43, 51, 29, 19, 65, 56, 67, 30, 41, 11, 30,25.0,33.0,27.0
572020,2015.0, 23, 37, 27, 21, 26, 47, 12, 4, 10, 39, 13, 21, 23,76.0,14.0,10.0
572020,2016.0, 83, 56, 72, 82, 87, 49, 83, 5, 4, 65, 92, 70, 83,87.0,22.0,7.0
572020,2017.0, 92, 83, 91, 96, 91, 66, 96, 49, 65, 85, 77, 77, 92,76.0,54.0,6.0
572020,2018.0, 73, 72, 53, 38, 88, 8, 6, 7, 4, 94, 79, 79, 73,73.0,53.0,2.0
572020,2019.0, 72, 73, 66, 60, 74, 23, 41, 33, 33, 83, 39, 81, 72,60.0,39.0,3.0
572020,2020.0, 53, 62, 31, 16, 72, 46, 13, 12, 14, 76, 60, 62, 53,21.0,31.0,8.0
606160,2015.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
606160,2016.0, , , , , , , , , , , , , ,54.0,73.0,NA
606160,2017.0, 38, 37, 67, 82, 12, 46, 83, 96, 96, 41, 6, 49, 38,63.0,62.0,NA
606160,2019.0, , , , , , , , , , , , , ,86.0,51.0,NA
606160,2020.0, , , , , , , , , , , , , ,84.0,44.0,NA
534576,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
650644,2019.0, 85, 63, 88, 96, 80, 99, 99, 86, 78, 27, 67, 18, 85,17.0,85.0,96.0
650644,2020.0, 43, 25, 32, 43, 56, 6, 54, 71, 70, 42, 89, 37, 43,13.0,72.0,86.0
502260,2015.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
592665,2015.0, 88, 81, 86, 82, 80, 91, 92, 88, 81, 56, 42, 32, 88,59.0,35.0,NA
592665,2016.0, 92, 74, 79, 78, 95, 76, 76, 28, 40, 92, 96, 74, 92,53.0,27.0,NA
592665,2017.0, 67, 49, 37, 30, 84, 46, 28, 36, 18, 70, 95, 60, 67,44.0,35.0,NA
592665,2018.0, 15, 15, 4, 3, 38, 56, 23, 37, 19, 21, 81, 44, 15,23.0,33.0,NA
461872,2015.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
461872,2016.0, , , , , , , , , , , , , ,67.0,71.0,NA
461872,2017.0, 97, 93, 93, 88, 95, 78, 80, 41, 73, 91, 67, 88, 97,77.0,75.0,NA
461872,2018.0, , , , , , , , , , , , , ,68.0,65.0,NA
461872,2019.0, 24, 40, 25, 19, 22, 56, 16, 16, 2, 47, 11, 68, 24,54.0,52.0,NA
542289,2018.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
592879,2015.0, , , , , , , , , , , , , ,27.0,15.0,NA
592879,2017.0, 40, 59, 24, 10, 67, 46, 13, 28, 53, 60, 76, 39, 40,47.0,15.0,22.0
592879,2019.0, 21, 48, 12, 5, 41, 30, 6, 65, 50, 47, 55, 54, 21,13.0,54.0,NA
592879,2020.0, 16, 21, 11, 11, 29, 28, 43, 52, 75, 19, 46, 41, 16,23.0,21.0,33.0
543136,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
448287,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
276542,2015.0, 81, 93, 83, 60, 81, 74, 56, 99, 96, 77, 19, 97, 81,79.0,68.0,NA
276542,2016.0, 73, 83, 84, 82, 48, 91, 75, 61, 67, 79, 5, 90, 73,80.0,55.0,NA
276542,2017.0, 63, 78, 54, 33, 66, 66, 31, 79, 84, 49, 20, 75, 63,78.0,55.0,0.0
571584,2015.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
571584,2016.0, , , , , , , , , , , , , ,53.0,53.0,91.0
594792,2015.0, , , , , , , , , , , , , ,68.0,28.0,NA
594792,2016.0, , , , , , , , , , , , , ,56.0,29.0,NA
611093,2015.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
611093,2016.0, , , , , , , , , , , , , ,58.0,82.0,NA
611093,2017.0, , , , , , , , , , , , , ,62.0,84.0,NA
611093,2018.0, , , , , , , , , , , , , ,58.0,75.0,NA
611093,2020.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
445060,2015.0, , , , , , , , , , , , , ,26.0,12.0,84.0
445060,2016.0, 36, 29, 26, 25, 62, 5, 39, 43, 36, 24, 88, 29, 36,23.0,10.0,73.0
445060,2017.0, 5, 6, 3, 4, 17, 1, 8, 1, 5, 24, 65, 55, 5,24.0,13.0,63.0
476601,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
622505,2017.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
622505,2018.0, , , , , , , , , , , , , ,67.0,13.0,NA
622505,2019.0, , , , , , , , , , , , , ,56.0,13.0,NA
669214,2019.0, , , , , , , , , , , , , ,24.0,68.0,39.0
669214,2020.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
502304,2015.0, , , , , , , , , , , , , ,87.0,42.0,NA
502304,2019.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
435140,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
457812,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
606930,2016.0, , , , , , , , , , , , , ,84.0,80.0,30.0
606930,2017.0, 83, 88, 89, 88, 69, 78, 80, 75, 72, 77, 15, 93, 83,69.0,81.0,NA
606930,2018.0, 50, 39, 64, 80, 31, 77, 56, 56, 55, 47, 17, 79, 50,51.0,78.0,NA
606930,2019.0, , , , , , , , , , , , , ,21.0,82.0,NA
