id,Year,Pitch,Team,Hand,#,MPH,Inches of Drop,vs Avg,% vs Avg,Inches of Break,vs Avg,% Break vs Avg
460283,2017.0,Curveball, NYM , L,455.0,71.0,63.2,-0.8,-1.0,17.5,4.3,32.0
460283,2017.0,Changeup, NYM , L,38.0,82.8,31.3,-1.1,-3.0,14.1,0.4,3.0
460283,2016.0,Slider, NYM , L,77.0,88.4,20.1,-7.9,-28.0,8.3,-9.7,-713.0
460283,2016.0,Curveball, NYM , L,220.0,71.2,64.0,1.2,2.0,14.8,3.9,35.0
460283,2016.0,Sinker, NYM , L,360.0,89.8,18.4,-3.6,-16.0,10.7,-3.9,-27.0
460283,2016.0,Changeup, NYM , L,51.0,83.8,28.6,-2.5,-8.0,14.6,1.2,9.0
460283,2015.0,Curveball, NYM , L,22.0,72.9,60.4,-1.2,-2.0,13.0,3.0,30.0
460283,2015.0,Changeup, NYM , L,3.0,85.5,23.2,-4.9,-17.0,17.9,4.5,34.0
460283,2015.0,Sinker, NYM , L,30.0,90.5,16.2,-5.5,-25.0,14.8,0.1,1.0
656887,2020.0,4-Seamer, TOR , R,83.0,94.4,13.8,1.1,8.0,5.8,-1.8,-23.0
656887,2020.0,Slider, TOR , R,41.0,85.9,36.7,1.5,4.0,4.2,-0.7,-14.0
656887,2020.0,Changeup, TOR , R,8.0,86.3,27.9,-3.4,-11.0,13.6,0.0,0.0
656887,2019.0,Changeup, TOR , R,52.0,85.6,30.7,-0.4,-1.0,13.9,0.0,0.0
656887,2019.0,Sinker, TOR , R,9.0,92.7,19.5,-2.9,-13.0,16.3,1.7,12.0
656887,2019.0,Curveball, TOR , R,45.0,81.1,47.4,-3.3,-7.0,12.6,2.4,23.0
656887,2019.0,4-Seamer, TOR , R,297.0,92.5,16.7,-0.2,-1.0,9.0,1.3,17.0
656887,2019.0,Slider, TOR , R,208.0,83.8,36.9,-0.6,-2.0,5.0,-1.5,-23.0
656887,2018.0,Sinker, TOR , R,55.0,93.8,21.5,-0.9,-4.0,16.8,2.2,15.0
656887,2018.0,Changeup, TOR , R,51.0,85.3,33.2,1.5,5.0,14.5,0.4,3.0
656887,2018.0,Curveball, TOR , R,33.0,81.4,48.2,0.4,1.0,12.4,3.3,36.0
656887,2018.0,4-Seamer, TOR , R,345.0,93.7,15.6,0.4,2.0,10.8,2.9,37.0
656887,2018.0,Slider, TOR , R,151.0,83.6,39.6,2.4,6.0,5.6,0.0,1.0
502009,2017.0,Curveball, TOR , R,8.0,75.7,58.9,-1.6,-3.0,5.5,-1.9,-25.0
502009,2017.0,Slider, TOR , R,77.0,86.3,31.4,-0.6,-2.0,4.2,0.8,24.0
502009,2017.0,Sinker, TOR , R,46.0,90.6,16.3,-2.4,-13.0,7.6,-5.0,-40.0
502009,2017.0,4-Seamer, TOR , R,108.0,91.6,14.8,-0.7,-5.0,0.0,-5.1,-100.0
502009,2017.0,Changeup, TOR , R,21.0,81.3,26.5,-2.5,-9.0,10.1,-1.7,-14.0
502009,2016.0,Splitter, WSH , R,184.0,81.2,40.2,4.8,14.0,0.1,-5.3,-98.0
502009,2016.0,Sinker, WSH , R,140.0,90.7,14.7,-3.7,-20.0,8.7,-4.1,-32.0
502009,2016.0,Slider, WSH , R,209.0,86.6,29.5,-0.6,-2.0,1.7,-0.9,-35.0
502009,2016.0,Curveball, WSH , R,63.0,75.7,56.0,-3.0,-5.0,3.9,-2.6,-40.0
502009,2016.0,4-Seamer, WSH , R,325.0,91.0,14.1,-0.1,-1.0,3.9,-2.9,-43.0
502009,2016.0,Changeup, WSH , R,75.0,85.8,21.5,-2.9,-12.0,8.7,-3.2,-27.0
502009,2016.0,Cutter, WSH , R,154.0,91.0,13.9,2.8,17.0,1.0,0.4,53.0
502009,2015.0,Sinker, LAA , R,168.0,91.8,12.9,-4.4,-25.0,8.3,-4.8,-37.0
502009,2015.0,4-Seamer, LAA , R,449.0,92.1,12.4,0.3,2.0,4.1,-2.7,-39.0
502009,2015.0,Slider, LAA , R,183.0,86.5,30.5,-0.2,-1.0,3.5,0.5,18.0
502009,2015.0,Changeup, LAA , R,74.0,84.2,21.4,-3.1,-13.0,9.5,-2.6,-22.0
502009,2015.0,Curveball, LAA , R,152.0,76.7,56.7,1.3,2.0,4.4,-1.8,-29.0
502009,2015.0,Splitter, LAA , R,265.0,81.9,41.5,4.2,11.0,1.1,-4.9,-81.0
502009,2015.0,Cutter, LAA , R,411.0,92.3,12.6,1.9,13.0,1.4,1.1,382.0
451775,2016.0,Changeup, OAK , R,5.0,88.6,26.6,2.4,10.0,9.0,-3.3,-27.0
451775,2016.0,4-Seamer, OAK , R,459.0,93.5,12.3,0.7,6.0,4.8,-3.3,-40.0
451775,2016.0,Cutter, OAK , R,151.0,89.2,26.8,-3.6,-15.0,3.5,2.7,360.0
451775,2016.0,Curveball, OAK , R,45.0,78.6,57.4,2.8,5.0,3.8,-2.2,-37.0
451775,2015.0,Cutter, OAK , R,157.0,90.7,22.2,-0.8,-4.0,1.8,2.3,-496.0
451775,2015.0,Curveball, OAK , R,146.0,79.8,57.6,5.7,11.0,5.0,-1.2,-19.0
451775,2015.0,4-Seamer, OAK , R,604.0,94.3,11.8,1.0,7.0,6.8,-1.3,-16.0
451775,2015.0,Changeup, OAK , R,23.0,87.9,26.1,0.0,0.0,12.6,-0.6,-4.0
493157,2017.0,4-Seamer, CHC , R,424.0,87.0,16.4,3.1,16.0,13.7,5.1,59.0
493157,2017.0,Splitter, CHC , R,217.0,79.2,36.2,-3.0,-8.0,16.7,4.6,38.0
493157,2017.0,Slider, CHC , R,17.0,81.6,30.6,-10.2,-25.0,1.0,-7.7,-115.0
493157,2017.0,Sinker, CHC , R,14.0,86.0,22.3,-3.8,-15.0,17.7,2.8,19.0
493157,2016.0,Sinker, BOS , R,61.0,87.1,17.0,-7.8,-31.0,15.6,1.3,9.0
493157,2016.0,Changeup, BOS , R,2.0,83.1,28.0,-4.0,-13.0,16.1,3.3,26.0
493157,2016.0,Slider, BOS , R,34.0,82.6,27.4,-11.0,-29.0,0.8,-3.5,-81.0
493157,2016.0,Splitter, BOS , R,345.0,79.1,36.2,-0.8,-2.0,13.8,1.9,16.0
493157,2016.0,4-Seamer, BOS , R,319.0,87.3,15.5,3.2,17.0,11.3,3.4,42.0
493157,2015.0,Slider, BOS , R,6.0,81.9,28.8,-10.5,-27.0,1.6,-2.6,-62.0
493157,2015.0,4-Seamer, BOS , R,203.0,87.6,12.9,5.2,29.0,10.7,2.9,37.0
493157,2015.0,Sinker, BOS , R,32.0,88.1,15.5,-8.1,-34.0,14.7,0.4,3.0
493157,2015.0,Splitter, BOS , R,371.0,79.6,33.5,-2.4,-7.0,12.9,1.8,16.0
607200,2020.0,Cutter, WSH , R,141.0,88.7,29.0,-2.0,-7.0,4.0,1.4,52.0
607200,2020.0,Splitter, WSH , R,80.0,86.7,36.1,3.9,12.0,13.2,1.8,15.0
607200,2020.0,Sinker, WSH , R,372.0,93.4,22.0,1.4,7.0,10.4,-3.8,-27.0
607200,2020.0,Curveball, WSH , R,156.0,79.5,44.6,-7.6,-15.0,12.2,2.2,21.0
607200,2020.0,4-Seamer, WSH , R,99.0,93.3,22.5,-7.3,-48.0,5.3,-1.9,-26.0
607200,2019.0,Sinker, WSH , R,532.0,92.3,23.5,1.3,6.0,9.0,-5.3,-37.0
607200,2019.0,Splitter, WSH , R,91.0,85.3,34.5,2.1,6.0,11.5,0.2,2.0
607200,2019.0,4-Seamer, WSH , R,179.0,92.3,22.3,-6.1,-38.0,5.0,-2.1,-29.0
607200,2019.0,Curveball, WSH , R,255.0,79.2,49.9,-4.1,-8.0,11.6,1.8,18.0
607200,2019.0,Cutter, WSH , R,230.0,87.2,32.3,-3.8,-14.0,4.1,1.9,92.0
607200,2018.0,Curveball, WSH , R,55.0,76.9,56.9,-1.8,-3.0,10.8,1.8,20.0
607200,2018.0,Cutter, WSH , R,125.0,88.1,32.3,-5.0,-18.0,3.9,1.8,84.0
607200,2018.0,Sinker, WSH , R,467.0,93.7,23.2,2.6,13.0,10.7,-3.5,-25.0
607200,2018.0,Slider, WSH , R,141.0,81.4,45.2,3.7,9.0,8.6,1.6,24.0
607200,2018.0,4-Seamer, WSH , R,43.0,93.7,20.7,-5.4,-35.0,5.6,-1.4,-20.0
607200,2018.0,Splitter, WSH , R,113.0,87.4,33.3,2.6,8.0,13.1,1.8,16.0
607200,2017.0,Slider, WSH , R,17.0,81.3,44.0,3.7,9.0,10.0,3.7,59.0
607200,2017.0,Cutter, WSH , R,23.0,86.0,28.7,-0.5,-2.0,1.9,-0.1,-4.0
607200,2017.0,Splitter, WSH , R,64.0,87.8,27.6,-0.9,-3.0,9.9,-0.1,-1.0
607200,2017.0,4-Seamer, WSH , R,16.0,92.1,17.7,-3.3,-23.0,3.6,-3.3,-48.0
607200,2017.0,Sinker, WSH , R,148.0,93.7,18.7,-0.2,-1.0,11.8,-2.5,-18.0
607200,2017.0,Curveball, WSH , R,30.0,76.0,49.3,-8.6,-15.0,11.9,3.1,36.0
545001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
