name,team,W,L,ERA,G,GS,CG,SHO,SV,SVO,IP,H,R,ER,HR,HB,BB,SO,WHIP,AVG,url
Shawn Camp,TOR,--,--,5.16,--,--,--,--,--,--,22.2,32,14,13,3,3,0,8,1.41,.337,https://www.mlb.com/player/425861
Stephen Strasburg,WSH,--,--,1.59,--,--,--,--,--,--,22.2,22,5,4,0,0,0,27,0.97,.256,https://www.mlb.com/player/544931
Jeanmar Gomez,CLE,--,--,6.04,--,--,--,--,--,--,22.1,33,17,15,4,0,0,6,1.48,.347,https://www.mlb.com/player/491646
Jamey Wright,SEA,--,--,4.84,--,--,--,--,--,--,22.1,21,12,12,2,2,0,9,0.94,.247,https://www.mlb.com/player/124604
Billy Wagner,ATL,--,--,2.05,--,--,--,--,--,--,22.0,20,5,5,1,2,0,30,0.91,.244,https://www.mlb.com/player/123790
Peter Moylan,ATL,--,--,2.45,--,--,--,--,--,--,22.0,17,8,6,0,1,0,8,0.77,.227,https://www.mlb.com/player/493247
David Robertson,NYY,--,--,2.05,--,--,--,--,--,--,22.0,22,5,5,0,0,0,27,1.00,.259,https://www.mlb.com/player/502085
Sean Gallagher,PIT,--,--,5.32,--,--,--,--,--,--,22.0,25,13,13,3,2,0,13,1.14,.298,https://www.mlb.com/player/451595
Ramon E Ramirez,SF,--,--,1.64,--,--,--,--,--,--,22.0,17,4,4,0,0,0,12,0.77,.210,https://www.mlb.com/player/430673
Edinson Volquez,CIN,--,--,3.74,--,--,--,--,--,--,21.2,23,9,9,2,1,0,22,1.06,.274,https://www.mlb.com/player/450172
Raul Valdes,NYM,--,--,7.48,--,--,--,--,--,--,21.2,26,19,18,4,1,0,16,1.20,.292,https://www.mlb.com/player/447744
Derek Holland,TEX,--,--,4.57,--,--,--,--,--,--,21.2,23,12,11,3,1,0,25,1.06,.271,https://www.mlb.com/player/502706
Jason Berken,BAL,--,--,2.53,--,--,--,--,--,--,21.1,24,7,6,1,0,0,12,1.13,.300,https://www.mlb.com/player/460072
J.J. Putz,CWS,--,--,3.38,--,--,--,--,--,--,21.1,15,9,8,1,1,0,20,0.70,.190,https://www.mlb.com/player/407816
Esmil Rogers,COL,--,--,5.91,--,--,--,--,--,--,21.1,33,15,14,2,1,0,13,1.55,.367,https://www.mlb.com/player/469134
Burke Badenhop,FLA,--,--,5.06,--,--,--,--,--,--,21.1,23,12,12,1,1,0,10,1.08,.274,https://www.mlb.com/player/488674
Matt Lindstrom,HOU,--,--,2.53,--,--,--,--,--,--,21.1,23,6,6,2,0,0,11,1.08,.280,https://www.mlb.com/player/434637
Jonathan Broxton,LAD,--,--,3.80,--,--,--,--,--,--,21.1,18,10,9,1,0,0,19,0.84,.234,https://www.mlb.com/player/455009
Mike Adams,SD,--,--,1.27,--,--,--,--,--,--,21.1,20,3,3,0,0,0,14,0.94,.247,https://www.mlb.com/player/430606
Scott Atchison,BOS,--,--,5.14,--,--,--,--,--,--,21.0,26,13,12,4,0,0,15,1.24,.299,https://www.mlb.com/player/425786
Hector Ambriz,CLE,--,--,6.00,--,--,--,--,--,--,21.0,24,14,14,4,0,0,12,1.14,.300,https://www.mlb.com/player/459932
Blake Wood,KC,--,--,7.71,--,--,--,--,--,--,21.0,23,19,18,5,0,0,12,1.10,.284,https://www.mlb.com/player/502028
Brian Wilson,SF,--,--,0.86,--,--,--,--,--,--,21.0,20,3,2,0,0,0,15,0.95,.241,https://www.mlb.com/player/451216
Darren O'Day,TEX,--,--,3.00,--,--,--,--,--,--,21.0,18,7,7,3,2,0,11,0.86,.228,https://www.mlb.com/player/503285
Takashi Saito,ATL,--,--,3.05,--,--,--,--,--,--,20.2,16,7,7,4,0,0,24,0.77,.211,https://www.mlb.com/player/493416
Chris Perez,CLE,--,--,3.48,--,--,--,--,--,--,20.2,16,8,8,1,1,0,17,0.77,.225,https://www.mlb.com/player/453198
