name,team,W,L,ERA,G,GS,CG,SHO,SV,SVO,IP,H,R,ER,HR,HB,BB,SO,WHIP,AVG,url
Eddie Bonine,DET,--,--,5.03,--,--,--,--,--,--,48.1,56,29,27,6,1,15,16,1.47,.295,https://www.mlb.com/player/444382
Chad Billingsley,LAD,--,--,4.28,--,--,--,--,--,--,48.1,41,25,23,3,3,18,39,1.22,.243,https://www.mlb.com/player/451532
Jeff Niemann,TB,--,--,5.44,--,--,--,--,--,--,48.0,46,29,29,6,1,16,36,1.29,.249,https://www.mlb.com/player/435298
Casey Janssen,TOR,--,--,3.56,--,--,--,--,--,--,48.0,45,19,19,4,3,15,47,1.25,.243,https://www.mlb.com/player/445163
Jorge De La Rosa,COL,--,--,3.02,--,--,--,--,--,--,47.2,27,18,16,4,0,23,37,1.05,.171,https://www.mlb.com/player/407822
Craig Stammen,WSH,--,--,5.10,--,--,--,--,--,--,47.2,52,28,27,5,0,14,38,1.38,.280,https://www.mlb.com/player/489334
Jeff Suppan,STL,--,--,6.08,--,--,--,--,--,--,47.1,64,35,32,6,1,18,18,1.73,.340,https://www.mlb.com/player/122987
Hisanori Takahashi,NYM,--,--,4.98,--,--,--,--,--,--,47.0,51,28,26,8,0,20,37,1.51,.279,https://www.mlb.com/player/538227
Edward Mujica,SD,--,--,3.72,--,--,--,--,--,--,46.0,39,20,19,8,0,2,59,0.89,.225,https://www.mlb.com/player/465629
Josh Beckett,BOS,--,--,6.31,--,--,--,--,--,--,45.2,50,35,32,3,4,21,43,1.55,.278,https://www.mlb.com/player/277417
Jonathan Sanchez,SF,--,--,3.35,--,--,--,--,--,--,45.2,32,21,17,7,2,13,48,0.99,.196,https://www.mlb.com/player/456043
Mike Pelfrey,NYM,--,--,5.89,--,--,--,--,--,--,44.1,45,31,29,2,3,17,19,1.40,.265,https://www.mlb.com/player/460059
Carlos Monasterios,LAD,--,--,3.27,--,--,--,--,--,--,44.0,43,18,16,4,3,15,28,1.32,.257,https://www.mlb.com/player/467856
Ben Sheets,OAK,--,--,4.95,--,--,--,--,--,--,43.2,47,27,24,8,0,15,23,1.42,.283,https://www.mlb.com/player/282656
Clayton Richard,SD,--,--,5.15,--,--,--,--,--,--,43.2,42,28,25,6,2,17,37,1.35,.246,https://www.mlb.com/player/453385
Josh Johnson,FLA,--,--,2.91,--,--,--,--,--,--,43.1,31,14,14,1,0,16,37,1.08,.207,https://www.mlb.com/player/435178
Nate Robertson,PHI,--,--,5.61,--,--,--,--,--,--,43.1,45,32,27,8,3,16,29,1.41,.274,https://www.mlb.com/player/425146
Brandon Morrow,TOR,--,--,3.95,--,--,--,--,--,--,43.1,41,19,19,2,4,14,55,1.27,.246,https://www.mlb.com/player/453344
Aaron Harang,CIN,--,--,5.02,--,--,--,--,--,--,43.0,50,25,24,5,3,11,30,1.42,.301,https://www.mlb.com/player/421685
Brian Tallet,TOR,--,--,6.59,--,--,--,--,--,--,42.1,43,32,31,10,3,20,29,1.49,.264,https://www.mlb.com/player/425226
Jason Berken,BAL,--,--,2.14,--,--,--,--,--,--,42.0,41,12,10,1,0,11,28,1.24,.261,https://www.mlb.com/player/460072
Armando Galarraga,DET,--,--,4.50,--,--,--,--,--,--,42.0,40,21,21,5,0,17,19,1.36,.255,https://www.mlb.com/player/451482
Gio Gonzalez,OAK,--,--,5.83,--,--,--,--,--,--,41.2,34,28,27,5,1,18,48,1.25,.224,https://www.mlb.com/player/461829
Ramon E Ramirez,SF,--,--,2.38,--,--,--,--,--,--,41.2,32,12,11,4,0,14,23,1.10,.212,https://www.mlb.com/player/430673
Ricky Romero,TOR,--,--,7.13,--,--,--,--,--,--,41.2,35,40,33,6,2,26,36,1.46,.238,https://www.mlb.com/player/460069
