player,position,team,G,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,AVG,OBP,SLG,OPS,url
Ozzie Albies,2B,ATL,--,1,6,0,0,0,0,1,0,0,0,0,.000,.000,.000,.000,https://www.mlb.com/player/645277
Adonis Garcia,3B,ATL,--,1,3,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,https://www.mlb.com/player/611177
Jace Peterson,2B,ATL,--,1,1,0,0,0,0,1,0,0,0,0,.000,.000,.000,.000,https://www.mlb.com/player/607054
Mike Foltynewicz,P,ATL,--,2,1,0,0,0,0,0,0,1,0,0,.000,.000,.000,.000,https://www.mlb.com/player/592314
Lucas Sims,P,ATL,--,0,1,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,https://www.mlb.com/player/608371
Ruben Tejada,SS,BAL,--,6,4,0,0,0,0,0,0,2,0,0,.000,.000,.000,.000,https://www.mlb.com/player/514913
Luis Sardinas,SS,BAL,--,3,2,0,0,0,0,0,0,1,0,0,.000,.000,.000,.000,https://www.mlb.com/player/596143
Pedro Alvarez,1B,BAL,--,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,https://www.mlb.com/player/476883
David Washington,1B,BAL,--,1,0,0,0,0,0,0,0,1,0,0,.000,.000,.000,.000,https://www.mlb.com/player/572241
Jayson Aquino,P,BAL,--,1,0,0,0,0,0,0,0,1,0,0,.000,.000,.000,.000,https://www.mlb.com/player/593969
Ryan Flaherty,2B,BAL,--,0,1,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,https://www.mlb.com/player/475247
Paul Janish,SS,BAL,--,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,https://www.mlb.com/player/457926
Caleb Joseph,C,BAL,--,5,5,0,0,0,0,0,0,1,0,0,.000,.000,.000,.000,https://www.mlb.com/player/543376
Chance Sisco,C,BAL,--,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,https://www.mlb.com/player/642082
Anthony Santander,RF,BAL,--,0,1,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,https://www.mlb.com/player/623993
Marco Hernandez,3B,BOS,--,0,3,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,https://www.mlb.com/player/593523
Christian Vazquez,C,BOS,--,6,5,0,0,0,0,2,0,1,0,0,.000,.000,.000,.000,https://www.mlb.com/player/543877
